what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_02",1325716182798
java.vm.info,sysinfo,,,"mixed mode",1325716182798
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1325716182798
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325716182798
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1325716182798
java.vm.specification.version,sysinfo,,,"1.7",1325716182798
java.vm.vendor,sysinfo,,,"Oracle Corporation",1325716182798
java.vm.version,sysinfo,,,"22.0-b10",1325716182798
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1325716184008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325716185548
